PackagingID,P_DatumTijdStart,P_DatumTijdEind,P_Machine,AantalStuksPerDoos,BatchID
935,2024-03-15 15:30:00,2024-03-15 17:13:00,Machine C0,14,935
936,2024-04-16 10:30:00,2024-04-16 11:57:00,Machine C1,11,936
937,2024-05-17 11:30:00,2024-05-17 13:50:00,Machine C2,13,937
938,2024-06-18 12:30:00,2024-06-18 14:18:00,Machine C3,6,938
939,2024-07-19 13:30:00,2024-07-19 16:09:00,Machine C4,5,939
940,2024-08-20 14:30:00,2024-08-20 15:35:00,Machine C0,19,940
941,2024-09-21 15:30:00,2024-09-21 17:12:00,Machine C1,17,941
942,2024-10-22 10:30:00,2024-10-22 11:34:00,Machine C2,20,942
943,2024-11-23 11:30:00,2024-11-23 13:56:00,Machine C3,19,943
944,2024-12-24 12:30:00,2024-12-24 13:50:00,Machine C4,19,944
945,2024-01-25 13:30:00,2024-01-25 14:42:00,Machine C0,19,945
946,2024-02-26 14:30:00,2024-02-26 16:32:00,Machine C1,7,946
947,2024-03-27 15:30:00,2024-03-27 17:58:00,Machine C2,14,947
948,2024-04-28 10:30:00,2024-04-28 12:29:00,Machine C3,5,948
949,2024-05-01 11:30:00,2024-05-01 13:49:00,Machine C4,14,949
950,2024-06-02 12:30:00,2024-06-02 15:13:00,Machine C0,13,950
951,2024-07-03 13:30:00,2024-07-03 15:51:00,Machine C1,11,951
952,2024-08-04 14:30:00,2024-08-04 16:28:00,Machine C2,6,952
953,2024-09-05 15:30:00,2024-09-05 17:17:00,Machine C3,14,953
954,2024-10-06 10:30:00,2024-10-06 12:32:00,Machine C4,10,954
955,2024-11-07 11:30:00,2024-11-07 14:02:00,Machine C0,19,955
956,2024-12-08 12:30:00,2024-12-08 14:19:00,Machine C1,7,956
957,2024-01-09 13:30:00,2024-01-09 14:31:00,Machine C2,14,957
958,2024-02-10 14:30:00,2024-02-10 16:04:00,Machine C3,12,958
959,2024-03-11 15:30:00,2024-03-11 17:16:00,Machine C4,8,959
960,2024-04-12 10:30:00,2024-04-12 13:09:00,Machine C0,6,960
961,2024-05-13 11:30:00,2024-05-13 14:06:00,Machine C1,6,961
962,2024-06-14 12:30:00,2024-06-14 14:02:00,Machine C2,8,962
963,2024-07-15 13:30:00,2024-07-15 16:01:00,Machine C3,9,963
964,2024-08-16 14:30:00,2024-08-16 16:39:00,Machine C4,5,964
965,2024-09-17 15:30:00,2024-09-17 18:29:00,Machine C0,19,965
966,2024-10-18 10:30:00,2024-10-18 12:45:00,Machine C1,9,966
967,2024-11-19 11:30:00,2024-11-19 12:34:00,Machine C2,16,967
968,2024-12-20 12:30:00,2024-12-20 13:33:00,Machine C3,9,968
969,2024-01-21 13:30:00,2024-01-21 15:02:00,Machine C4,13,969
970,2024-02-22 14:30:00,2024-02-22 16:20:00,Machine C0,12,970
971,2024-03-23 15:30:00,2024-03-23 16:35:00,Machine C1,6,971
972,2024-04-24 10:30:00,2024-04-24 12:24:00,Machine C2,7,972
973,2024-05-25 11:30:00,2024-05-25 13:35:00,Machine C3,14,973
974,2024-06-26 12:30:00,2024-06-26 15:09:00,Machine C4,5,974
975,2024-07-27 13:30:00,2024-07-27 16:28:00,Machine C0,14,975
976,2024-08-28 14:30:00,2024-08-28 16:33:00,Machine C1,10,976
977,2024-09-01 15:30:00,2024-09-01 17:05:00,Machine C2,13,977
978,2024-10-02 10:30:00,2024-10-02 12:49:00,Machine C3,15,978
979,2024-11-03 11:30:00,2024-11-03 14:15:00,Machine C4,17,979
980,2024-12-04 12:30:00,2024-12-04 15:12:00,Machine C0,11,980
981,2024-01-05 13:30:00,2024-01-05 15:51:00,Machine C1,6,981
982,2024-02-06 14:30:00,2024-02-06 16:39:00,Machine C2,15,982
983,2024-03-07 15:30:00,2024-03-07 16:55:00,Machine C3,9,983
984,2024-04-08 10:30:00,2024-04-08 12:57:00,Machine C4,19,984
985,2024-05-09 11:30:00,2024-05-09 12:40:00,Machine C0,19,985
986,2024-06-10 12:30:00,2024-06-10 14:29:00,Machine C1,13,986
987,2024-07-11 13:30:00,2024-07-11 15:10:00,Machine C2,18,987
988,2024-08-12 14:30:00,2024-08-12 16:51:00,Machine C3,8,988
989,2024-09-13 15:30:00,2024-09-13 16:52:00,Machine C4,20,989
990,2024-10-14 10:30:00,2024-10-14 11:58:00,Machine C0,20,990
991,2024-11-15 11:30:00,2024-11-15 14:25:00,Machine C1,6,991
992,2024-12-16 12:30:00,2024-12-16 14:15:00,Machine C2,16,992
993,2024-01-17 13:30:00,2024-01-17 15:18:00,Machine C3,15,993
994,2024-02-18 14:30:00,2024-02-18 16:54:00,Machine C4,16,994
995,2024-03-19 15:30:00,2024-03-19 17:30:00,Machine C0,13,995
996,2024-04-20 10:30:00,2024-04-20 12:10:00,Machine C1,13,996
997,2024-05-21 11:30:00,2024-05-21 13:09:00,Machine C2,9,997
998,2024-06-22 12:30:00,2024-06-22 14:29:00,Machine C3,17,998
999,2024-07-23 13:30:00,2024-07-23 14:51:00,Machine C4,20,999
1000,2024-08-24 14:30:00,2024-08-24 15:43:00,Machine C0,8,1000
1001,2024-09-25 15:30:00,2024-09-25 16:49:00,Machine C1,6,1001
1002,2024-10-26 10:30:00,2024-10-26 11:54:00,Machine C2,9,1002
1003,2024-11-27 11:30:00,2024-11-27 13:29:00,Machine C3,10,1003
1004,2024-12-28 12:30:00,2024-12-28 15:14:00,Machine C4,8,1004
1005,2024-01-01 13:30:00,2024-01-01 16:03:00,Machine C0,18,1005
1006,2024-02-02 14:30:00,2024-02-02 15:38:00,Machine C1,19,1006
1007,2024-03-03 15:30:00,2024-03-03 16:31:00,Machine C2,13,1007
1008,2024-04-04 10:30:00,2024-04-04 12:40:00,Machine C3,19,1008
1009,2024-05-05 11:30:00,2024-05-05 13:32:00,Machine C4,7,1009
1010,2024-06-06 12:30:00,2024-06-06 13:34:00,Machine C0,14,1010
1011,2024-07-07 13:30:00,2024-07-07 16:00:00,Machine C1,16,1011
1012,2024-08-08 14:30:00,2024-08-08 16:37:00,Machine C2,14,1012
1013,2024-09-09 15:30:00,2024-09-09 17:51:00,Machine C3,18,1013
1014,2024-10-10 10:30:00,2024-10-10 13:19:00,Machine C4,12,1014
1015,2024-11-11 11:30:00,2024-11-11 13:28:00,Machine C0,17,1015
1016,2024-12-12 12:30:00,2024-12-12 15:27:00,Machine C1,10,1016
1017,2024-01-13 13:30:00,2024-01-13 15:44:00,Machine C2,12,1017
1018,2024-02-14 14:30:00,2024-02-14 15:59:00,Machine C3,8,1018
1019,2024-03-15 15:30:00,2024-03-15 17:43:00,Machine C4,17,1019
1020,2024-04-16 10:30:00,2024-04-16 12:58:00,Machine C0,10,1020
1021,2024-05-17 11:30:00,2024-05-17 12:48:00,Machine C1,18,1021
1022,2024-06-18 12:30:00,2024-06-18 13:32:00,Machine C2,10,1022
1023,2024-07-19 13:30:00,2024-07-19 15:22:00,Machine C3,9,1023
1024,2024-08-20 14:30:00,2024-08-20 15:32:00,Machine C4,12,1024
1025,2024-09-21 15:30:00,2024-09-21 17:30:00,Machine C0,5,1025
1026,2024-10-22 10:30:00,2024-10-22 12:20:00,Machine C1,6,1026
1027,2024-11-23 11:30:00,2024-11-23 14:21:00,Machine C2,9,1027
1028,2024-12-24 12:30:00,2024-12-24 14:35:00,Machine C3,8,1028
1029,2024-01-25 13:30:00,2024-01-25 15:10:00,Machine C4,12,1029
1030,2024-02-26 14:30:00,2024-02-26 17:28:00,Machine C0,9,1030
1031,2024-03-27 15:30:00,2024-03-27 16:52:00,Machine C1,5,1031
1032,2024-04-28 10:30:00,2024-04-28 13:25:00,Machine C2,20,1032
1033,2024-05-01 11:30:00,2024-05-01 13:21:00,Machine C3,19,1033
1034,2024-06-02 12:30:00,2024-06-02 14:03:00,Machine C4,15,1034
1035,2024-07-03 13:30:00,2024-07-03 14:54:00,Machine C0,16,1035
1036,2024-08-04 14:30:00,2024-08-04 16:21:00,Machine C1,18,1036
1037,2024-09-05 15:30:00,2024-09-05 16:30:00,Machine C2,11,1037
1038,2024-10-06 10:30:00,2024-10-06 12:56:00,Machine C3,10,1038
1039,2024-11-07 11:30:00,2024-11-07 13:08:00,Machine C4,12,1039
1040,2024-12-08 12:30:00,2024-12-08 14:39:00,Machine C0,17,1040
1041,2024-01-09 13:30:00,2024-01-09 16:28:00,Machine C1,19,1041
1042,2024-02-10 14:30:00,2024-02-10 16:14:00,Machine C2,15,1042
1043,2024-03-11 15:30:00,2024-03-11 17:32:00,Machine C3,10,1043
1044,2024-04-12 10:30:00,2024-04-12 11:32:00,Machine C4,18,1044
1045,2024-05-13 11:30:00,2024-05-13 12:40:00,Machine C0,7,1045
1046,2024-06-14 12:30:00,2024-06-14 14:42:00,Machine C1,7,1046
1047,2024-07-15 13:30:00,2024-07-15 14:53:00,Machine C2,10,1047
1048,2024-08-16 14:30:00,2024-08-16 16:10:00,Machine C3,18,1048
1049,2024-09-17 15:30:00,2024-09-17 18:25:00,Machine C4,13,1049
1050,2024-10-18 10:30:00,2024-10-18 13:13:00,Machine C0,11,1050
1051,2024-11-19 11:30:00,2024-11-19 14:01:00,Machine C1,6,1051
1052,2024-12-20 12:30:00,2024-12-20 14:37:00,Machine C2,12,1052
1053,2024-01-21 13:30:00,2024-01-21 14:52:00,Machine C3,11,1053
1054,2024-02-22 14:30:00,2024-02-22 17:27:00,Machine C4,20,1054
1055,2024-03-23 15:30:00,2024-03-23 18:05:00,Machine C0,12,1055
1056,2024-04-24 10:30:00,2024-04-24 13:09:00,Machine C1,7,1056
1057,2024-05-25 11:30:00,2024-05-25 13:59:00,Machine C2,16,1057
1058,2024-06-26 12:30:00,2024-06-26 14:04:00,Machine C3,5,1058
1059,2024-07-27 13:30:00,2024-07-27 15:05:00,Machine C4,18,1059
1060,2024-08-28 14:30:00,2024-08-28 16:58:00,Machine C0,12,1060
1061,2024-09-01 15:30:00,2024-09-01 16:37:00,Machine C1,13,1061
1062,2024-10-02 10:30:00,2024-10-02 12:29:00,Machine C2,8,1062
1063,2024-11-03 11:30:00,2024-11-03 14:25:00,Machine C3,17,1063
1064,2024-12-04 12:30:00,2024-12-04 15:23:00,Machine C4,19,1064
1065,2024-01-05 13:30:00,2024-01-05 15:02:00,Machine C0,13,1065
1066,2024-02-06 14:30:00,2024-02-06 17:00:00,Machine C1,9,1066
1067,2024-03-07 15:30:00,2024-03-07 17:42:00,Machine C2,9,1067
1068,2024-04-08 10:30:00,2024-04-08 12:46:00,Machine C3,9,1068
1069,2024-05-09 11:30:00,2024-05-09 13:01:00,Machine C4,14,1069
1070,2024-06-10 12:30:00,2024-06-10 15:12:00,Machine C0,14,1070
1071,2024-07-11 13:30:00,2024-07-11 16:09:00,Machine C1,11,1071
1072,2024-08-12 14:30:00,2024-08-12 16:01:00,Machine C2,12,1072
1073,2024-09-13 15:30:00,2024-09-13 17:23:00,Machine C3,18,1073
1074,2024-10-14 10:30:00,2024-10-14 11:55:00,Machine C4,7,1074
1075,2024-11-15 11:30:00,2024-11-15 13:19:00,Machine C0,14,1075
1076,2024-12-16 12:30:00,2024-12-16 13:37:00,Machine C1,14,1076
1077,2024-01-17 13:30:00,2024-01-17 15:01:00,Machine C2,17,1077
1078,2024-02-18 14:30:00,2024-02-18 17:13:00,Machine C3,10,1078
1079,2024-03-19 15:30:00,2024-03-19 16:32:00,Machine C4,19,1079
1080,2024-04-20 10:30:00,2024-04-20 12:31:00,Machine C0,17,1080
1081,2024-05-21 11:30:00,2024-05-21 13:45:00,Machine C1,8,1081
1082,2024-06-22 12:30:00,2024-06-22 13:47:00,Machine C2,12,1082
1083,2024-07-23 13:30:00,2024-07-23 14:49:00,Machine C3,13,1083
1084,2024-08-24 14:30:00,2024-08-24 16:05:00,Machine C4,12,1084
1085,2024-09-25 15:30:00,2024-09-25 17:44:00,Machine C0,19,1085
1086,2024-10-26 10:30:00,2024-10-26 11:38:00,Machine C1,12,1086
1087,2024-11-27 11:30:00,2024-11-27 14:19:00,Machine C2,8,1087
1088,2024-12-28 12:30:00,2024-12-28 14:37:00,Machine C3,13,1088
1089,2024-01-01 13:30:00,2024-01-01 15:03:00,Machine C4,10,1089
1090,2024-02-02 14:30:00,2024-02-02 16:22:00,Machine C0,17,1090
1091,2024-03-03 15:30:00,2024-03-03 16:43:00,Machine C1,20,1091
1092,2024-04-04 10:30:00,2024-04-04 12:12:00,Machine C2,12,1092
1093,2024-05-05 11:30:00,2024-05-05 13:20:00,Machine C3,10,1093
1094,2024-06-06 12:30:00,2024-06-06 14:11:00,Machine C4,7,1094
1095,2024-07-07 13:30:00,2024-07-07 15:00:00,Machine C0,5,1095
1096,2024-08-08 14:30:00,2024-08-08 16:52:00,Machine C1,7,1096
1097,2024-09-09 15:30:00,2024-09-09 17:31:00,Machine C2,7,1097
1098,2024-10-10 10:30:00,2024-10-10 11:57:00,Machine C3,17,1098
1099,2024-11-11 11:30:00,2024-11-11 14:05:00,Machine C4,7,1099
1100,2024-12-12 12:30:00,2024-12-12 13:40:00,Machine C0,5,1100
1101,2024-01-13 13:30:00,2024-01-13 15:18:00,Machine C1,10,1101
1102,2024-02-14 14:30:00,2024-02-14 17:10:00,Machine C2,19,1102
1103,2024-03-15 15:30:00,2024-03-15 17:49:00,Machine C3,16,1103
1104,2024-04-16 10:30:00,2024-04-16 13:04:00,Machine C4,10,1104
1105,2024-05-17 11:30:00,2024-05-17 12:44:00,Machine C0,19,1105
1106,2024-06-18 12:30:00,2024-06-18 14:28:00,Machine C1,11,1106
1107,2024-07-19 13:30:00,2024-07-19 15:43:00,Machine C2,19,1107
1108,2024-08-20 14:30:00,2024-08-20 15:36:00,Machine C3,20,1108
1109,2024-09-21 15:30:00,2024-09-21 17:18:00,Machine C4,9,1109
1110,2024-10-22 10:30:00,2024-10-22 13:22:00,Machine C0,13,1110
1111,2024-11-23 11:30:00,2024-11-23 13:02:00,Machine C1,6,1111
1112,2024-12-24 12:30:00,2024-12-24 14:01:00,Machine C2,19,1112
1113,2024-01-25 13:30:00,2024-01-25 15:14:00,Machine C3,17,1113
1114,2024-02-26 14:30:00,2024-02-26 16:09:00,Machine C4,7,1114
1115,2024-03-27 15:30:00,2024-03-27 17:17:00,Machine C0,20,1115
1116,2024-04-28 10:30:00,2024-04-28 12:11:00,Machine C1,18,1116
1117,2024-05-01 11:30:00,2024-05-01 13:08:00,Machine C2,15,1117
1118,2024-06-02 12:30:00,2024-06-02 14:19:00,Machine C3,16,1118
1119,2024-07-03 13:30:00,2024-07-03 15:15:00,Machine C4,7,1119
1120,2024-08-04 14:30:00,2024-08-04 15:36:00,Machine C0,13,1120
1121,2024-09-05 15:30:00,2024-09-05 16:35:00,Machine C1,14,1121
1122,2024-10-06 10:30:00,2024-10-06 11:35:00,Machine C2,6,1122
1123,2024-11-07 11:30:00,2024-11-07 13:16:00,Machine C3,8,1123
1124,2024-12-08 12:30:00,2024-12-08 14:36:00,Machine C4,5,1124
1125,2024-01-09 13:30:00,2024-01-09 15:50:00,Machine C0,6,1125
1126,2024-02-10 14:30:00,2024-02-10 17:22:00,Machine C1,13,1126
1127,2024-03-11 15:30:00,2024-03-11 17:31:00,Machine C2,10,1127
1128,2024-04-12 10:30:00,2024-04-12 11:36:00,Machine C3,15,1128
1129,2024-05-13 11:30:00,2024-05-13 14:20:00,Machine C4,8,1129
1130,2024-06-14 12:30:00,2024-06-14 15:16:00,Machine C0,8,1130
1131,2024-07-15 13:30:00,2024-07-15 16:05:00,Machine C1,6,1131
1132,2024-08-16 14:30:00,2024-08-16 15:58:00,Machine C2,20,1132
1133,2024-09-17 15:30:00,2024-09-17 17:52:00,Machine C3,6,1133
1134,2024-10-18 10:30:00,2024-10-18 12:53:00,Machine C4,15,1134
1135,2024-11-19 11:30:00,2024-11-19 13:36:00,Machine C0,11,1135
1136,2024-12-20 12:30:00,2024-12-20 14:49:00,Machine C1,14,1136
1137,2024-01-21 13:30:00,2024-01-21 14:42:00,Machine C2,17,1137
1138,2024-02-22 14:30:00,2024-02-22 16:27:00,Machine C3,19,1138
1139,2024-03-23 15:30:00,2024-03-23 16:51:00,Machine C4,8,1139
1140,2024-04-24 10:30:00,2024-04-24 12:29:00,Machine C0,19,1140
1141,2024-05-25 11:30:00,2024-05-25 12:51:00,Machine C1,12,1141
1142,2024-06-26 12:30:00,2024-06-26 15:02:00,Machine C2,14,1142
1143,2024-07-27 13:30:00,2024-07-27 15:58:00,Machine C3,14,1143
1144,2024-08-28 14:30:00,2024-08-28 17:19:00,Machine C4,11,1144
1145,2024-09-01 15:30:00,2024-09-01 17:38:00,Machine C0,7,1145
1146,2024-10-02 10:30:00,2024-10-02 12:37:00,Machine C1,15,1146
1147,2024-11-03 11:30:00,2024-11-03 12:42:00,Machine C2,13,1147
1148,2024-12-04 12:30:00,2024-12-04 13:32:00,Machine C3,16,1148
1149,2024-01-05 13:30:00,2024-01-05 14:31:00,Machine C4,19,1149
1150,2024-02-06 14:30:00,2024-02-06 16:47:00,Machine C0,9,1150
1151,2024-03-07 15:30:00,2024-03-07 16:52:00,Machine C1,6,1151
1152,2024-04-08 10:30:00,2024-04-08 11:51:00,Machine C2,14,1152
1153,2024-05-09 11:30:00,2024-05-09 12:54:00,Machine C3,14,1153
1154,2024-06-10 12:30:00,2024-06-10 15:26:00,Machine C4,14,1154
1155,2024-07-11 13:30:00,2024-07-11 15:25:00,Machine C0,7,1155
1156,2024-08-12 14:30:00,2024-08-12 16:22:00,Machine C1,8,1156
1157,2024-09-13 15:30:00,2024-09-13 17:23:00,Machine C2,5,1157
1158,2024-10-14 10:30:00,2024-10-14 13:05:00,Machine C3,9,1158
1159,2024-11-15 11:30:00,2024-11-15 12:49:00,Machine C4,18,1159
1160,2024-12-16 12:30:00,2024-12-16 15:17:00,Machine C0,5,1160
1161,2024-01-17 13:30:00,2024-01-17 14:46:00,Machine C1,11,1161
1162,2024-02-18 14:30:00,2024-02-18 16:25:00,Machine C2,14,1162
1163,2024-03-19 15:30:00,2024-03-19 16:52:00,Machine C3,16,1163
1164,2024-04-20 10:30:00,2024-04-20 12:54:00,Machine C4,17,1164
1165,2024-05-21 11:30:00,2024-05-21 13:17:00,Machine C0,18,1165
1166,2024-06-22 12:30:00,2024-06-22 14:41:00,Machine C1,15,1166
1167,2024-07-23 13:30:00,2024-07-23 14:45:00,Machine C2,16,1167
1168,2024-08-24 14:30:00,2024-08-24 15:47:00,Machine C3,14,1168
1169,2024-09-25 15:30:00,2024-09-25 17:35:00,Machine C4,6,1169
1170,2024-10-26 10:30:00,2024-10-26 12:36:00,Machine C0,7,1170
1171,2024-11-27 11:30:00,2024-11-27 12:39:00,Machine C1,10,1171
1172,2024-12-28 12:30:00,2024-12-28 14:56:00,Machine C2,17,1172
1173,2024-01-01 13:30:00,2024-01-01 16:00:00,Machine C3,17,1173
1174,2024-02-02 14:30:00,2024-02-02 16:10:00,Machine C4,14,1174
1175,2024-03-03 15:30:00,2024-03-03 17:53:00,Machine C0,16,1175
1176,2024-04-04 10:30:00,2024-04-04 12:26:00,Machine C1,7,1176
1177,2024-05-05 11:30:00,2024-05-05 12:33:00,Machine C2,11,1177
1178,2024-06-06 12:30:00,2024-06-06 13:39:00,Machine C3,13,1178
1179,2024-07-07 13:30:00,2024-07-07 15:49:00,Machine C4,17,1179
1180,2024-08-08 14:30:00,2024-08-08 17:07:00,Machine C0,18,1180
1181,2024-09-09 15:30:00,2024-09-09 17:34:00,Machine C1,8,1181
1182,2024-10-10 10:30:00,2024-10-10 13:23:00,Machine C2,13,1182
1183,2024-11-11 11:30:00,2024-11-11 13:07:00,Machine C3,10,1183
1184,2024-12-12 12:30:00,2024-12-12 14:43:00,Machine C4,12,1184
1185,2024-01-13 13:30:00,2024-01-13 14:46:00,Machine C0,20,1185
1186,2024-02-14 14:30:00,2024-02-14 17:21:00,Machine C1,7,1186
1187,2024-03-15 15:30:00,2024-03-15 17:57:00,Machine C2,7,1187
1188,2024-04-16 10:30:00,2024-04-16 12:11:00,Machine C3,18,1188
1189,2024-05-17 11:30:00,2024-05-17 13:22:00,Machine C4,19,1189
1190,2024-06-18 12:30:00,2024-06-18 13:39:00,Machine C0,7,1190
1191,2024-07-19 13:30:00,2024-07-19 14:46:00,Machine C1,10,1191
1192,2024-08-20 14:30:00,2024-08-20 16:52:00,Machine C2,17,1192
1193,2024-09-21 15:30:00,2024-09-21 17:53:00,Machine C3,12,1193
1194,2024-10-22 10:30:00,2024-10-22 13:03:00,Machine C4,10,1194
1195,2024-11-23 11:30:00,2024-11-23 14:30:00,Machine C0,17,1195
1196,2024-12-24 12:30:00,2024-12-24 15:26:00,Machine C1,8,1196
1197,2024-01-25 13:30:00,2024-01-25 14:57:00,Machine C2,19,1197
1198,2024-02-26 14:30:00,2024-02-26 16:49:00,Machine C3,12,1198
1199,2024-03-27 15:30:00,2024-03-27 17:02:00,Machine C4,17,1199
1200,2024-04-28 10:30:00,2024-04-28 11:39:00,Machine C0,16,1200
1201,2024-05-01 11:30:00,2024-05-01 14:27:00,Machine C1,12,1201
1202,2024-06-02 12:30:00,2024-06-02 14:19:00,Machine C2,5,1202
1203,2024-07-03 13:30:00,2024-07-03 16:17:00,Machine C3,13,1203
1204,2024-08-04 14:30:00,2024-08-04 17:13:00,Machine C4,13,1204
1205,2024-09-05 15:30:00,2024-09-05 18:07:00,Machine C0,12,1205
1206,2024-10-06 10:30:00,2024-10-06 13:15:00,Machine C1,16,1206
1207,2024-11-07 11:30:00,2024-11-07 12:34:00,Machine C2,13,1207
1208,2024-12-08 12:30:00,2024-12-08 14:34:00,Machine C3,17,1208
1209,2024-01-09 13:30:00,2024-01-09 16:14:00,Machine C4,9,1209
1210,2024-02-10 14:30:00,2024-02-10 16:54:00,Machine C0,7,1210
1211,2024-03-11 15:30:00,2024-03-11 17:34:00,Machine C1,10,1211
1212,2024-04-12 10:30:00,2024-04-12 12:13:00,Machine C2,14,1212
1213,2024-05-13 11:30:00,2024-05-13 13:16:00,Machine C3,12,1213
1214,2024-06-14 12:30:00,2024-06-14 15:11:00,Machine C4,13,1214
1215,2024-07-15 13:30:00,2024-07-15 15:21:00,Machine C0,12,1215
1216,2024-08-16 14:30:00,2024-08-16 17:20:00,Machine C1,16,1216
1217,2024-09-17 15:30:00,2024-09-17 17:06:00,Machine C2,7,1217
1218,2024-10-18 10:30:00,2024-10-18 12:41:00,Machine C3,18,1218
1219,2024-11-19 11:30:00,2024-11-19 12:54:00,Machine C4,10,1219
1220,2024-12-20 12:30:00,2024-12-20 15:13:00,Machine C0,17,1220
1221,2024-01-21 13:30:00,2024-01-21 16:13:00,Machine C1,10,1221
1222,2024-02-22 14:30:00,2024-02-22 15:32:00,Machine C2,16,1222
1223,2024-03-23 15:30:00,2024-03-23 17:35:00,Machine C3,9,1223
1224,2024-04-24 10:30:00,2024-04-24 12:56:00,Machine C4,6,1224
1225,2024-05-25 11:30:00,2024-05-25 14:19:00,Machine C0,5,1225
1226,2024-06-26 12:30:00,2024-06-26 14:16:00,Machine C1,10,1226
1227,2024-07-27 13:30:00,2024-07-27 16:17:00,Machine C2,18,1227
1228,2024-08-28 14:30:00,2024-08-28 16:07:00,Machine C3,6,1228
1229,2024-09-01 15:30:00,2024-09-01 18:29:00,Machine C4,16,1229
1230,2024-10-02 10:30:00,2024-10-02 12:19:00,Machine C0,18,1230
1231,2024-11-03 11:30:00,2024-11-03 14:21:00,Machine C1,19,1231
1232,2024-12-04 12:30:00,2024-12-04 15:13:00,Machine C2,8,1232
1233,2024-01-05 13:30:00,2024-01-05 16:26:00,Machine C3,16,1233
1234,2024-02-06 14:30:00,2024-02-06 16:00:00,Machine C4,19,1234
1235,2024-03-07 15:30:00,2024-03-07 18:01:00,Machine C0,19,1235
1236,2024-04-08 10:30:00,2024-04-08 11:40:00,Machine C1,13,1236
1237,2024-05-09 11:30:00,2024-05-09 12:49:00,Machine C2,10,1237
1238,2024-06-10 12:30:00,2024-06-10 15:08:00,Machine C3,16,1238
1239,2024-07-11 13:30:00,2024-07-11 14:42:00,Machine C4,6,1239
1240,2024-08-12 14:30:00,2024-08-12 15:54:00,Machine C0,7,1240
1241,2024-09-13 15:30:00,2024-09-13 17:38:00,Machine C1,14,1241
1242,2024-10-14 10:30:00,2024-10-14 12:34:00,Machine C2,16,1242
1243,2024-11-15 11:30:00,2024-11-15 13:04:00,Machine C3,13,1243
1244,2024-12-16 12:30:00,2024-12-16 13:45:00,Machine C4,9,1244
1245,2024-01-17 13:30:00,2024-01-17 15:11:00,Machine C0,15,1245
1246,2024-02-18 14:30:00,2024-02-18 15:36:00,Machine C1,18,1246
1247,2024-03-19 15:30:00,2024-03-19 17:27:00,Machine C2,6,1247
1248,2024-04-20 10:30:00,2024-04-20 13:24:00,Machine C3,18,1248
1249,2024-05-21 11:30:00,2024-05-21 13:37:00,Machine C4,11,1249
1250,2024-06-22 12:30:00,2024-06-22 14:04:00,Machine C0,19,1250
1251,2024-07-23 13:30:00,2024-07-23 14:30:00,Machine C1,11,1251
1252,2024-08-24 14:30:00,2024-08-24 17:23:00,Machine C2,11,1252
1253,2024-09-25 15:30:00,2024-09-25 18:19:00,Machine C3,7,1253
1254,2024-10-26 10:30:00,2024-10-26 11:51:00,Machine C4,20,1254
1255,2024-11-27 11:30:00,2024-11-27 13:43:00,Machine C0,7,1255
1256,2024-12-28 12:30:00,2024-12-28 14:45:00,Machine C1,9,1256
1257,2024-01-01 13:30:00,2024-01-01 15:59:00,Machine C2,11,1257
1258,2024-02-02 14:30:00,2024-02-02 16:40:00,Machine C3,9,1258
1259,2024-03-03 15:30:00,2024-03-03 16:55:00,Machine C4,12,1259
1260,2024-04-04 10:30:00,2024-04-04 12:35:00,Machine C0,10,1260
1261,2024-05-05 11:30:00,2024-05-05 12:48:00,Machine C1,10,1261
1262,2024-06-06 12:30:00,2024-06-06 14:19:00,Machine C2,13,1262
1263,2024-07-07 13:30:00,2024-07-07 15:42:00,Machine C3,12,1263
1264,2024-08-08 14:30:00,2024-08-08 16:59:00,Machine C4,18,1264
1265,2024-09-09 15:30:00,2024-09-09 17:18:00,Machine C0,18,1265
1266,2024-10-10 10:30:00,2024-10-10 12:02:00,Machine C1,11,1266
1267,2024-11-11 11:30:00,2024-11-11 12:35:00,Machine C2,10,1267
1268,2024-12-12 12:30:00,2024-12-12 13:42:00,Machine C3,10,1268
1269,2024-01-13 13:30:00,2024-01-13 15:00:00,Machine C4,7,1269
1270,2024-02-14 14:30:00,2024-02-14 15:46:00,Machine C0,5,1270
1271,2024-03-15 15:30:00,2024-03-15 17:03:00,Machine C1,6,1271
1272,2024-04-16 10:30:00,2024-04-16 13:00:00,Machine C2,12,1272
1273,2024-05-17 11:30:00,2024-05-17 12:45:00,Machine C3,6,1273
1274,2024-06-18 12:30:00,2024-06-18 14:39:00,Machine C4,6,1274
1275,2024-07-19 13:30:00,2024-07-19 15:39:00,Machine C0,17,1275
1276,2024-08-20 14:30:00,2024-08-20 15:34:00,Machine C1,19,1276
1277,2024-09-21 15:30:00,2024-09-21 17:27:00,Machine C2,18,1277
1278,2024-10-22 10:30:00,2024-10-22 13:21:00,Machine C3,8,1278
1279,2024-11-23 11:30:00,2024-11-23 13:02:00,Machine C4,5,1279
1280,2024-12-24 12:30:00,2024-12-24 15:14:00,Machine C0,16,1280
1281,2024-01-25 13:30:00,2024-01-25 15:28:00,Machine C1,20,1281
1282,2024-02-26 14:30:00,2024-02-26 17:14:00,Machine C2,14,1282
1283,2024-03-27 15:30:00,2024-03-27 17:05:00,Machine C3,15,1283
1284,2024-04-28 10:30:00,2024-04-28 11:37:00,Machine C4,6,1284
1285,2024-05-01 11:30:00,2024-05-01 13:07:00,Machine C0,12,1285
